,origin,destination,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare_1,business_fare_rs,first_fare_rs,economy_fare,business_fare,first_fare
33,DEL,BLR,5:50:00,1,2:45:00,8:35:00,1,G8113,G8,Go First,7106,,,85.272,,
34,DEL,BLR,5:50:00,6,2:45:00,8:35:00,6,G8113,G8,Go First,7106,,,85.272,,
35,DEL,BLR,5:50:00,0,2:45:00,8:35:00,0,G8113,G8,Go First,7106,,,85.272,,
36,DEL,BLR,5:50:00,4,2:45:00,8:35:00,4,G8113,G8,Go First,7106,,,85.272,,
37,DEL,BLR,20:30:00,1,2:55:00,23:25:00,1,G8119,G8,Go First,7106,,,85.272,,
38,DEL,BLR,8:10:00,4,2:30:00,10:40:00,4,I5740,I5,AirAsia India,7202,,,86.424,,
39,DEL,BLR,21:40:00,4,2:50:00,0:30:00,5,I51732,I5,AirAsia India,7203,,,86.436,,
40,DEL,BLR,20:00:00,1,2:30:00,22:30:00,1,SG537,SG,SpiceJet,8380,,,100.56,,
41,DEL,BLR,20:30:00,6,2:55:00,23:25:00,6,G8119,G8,Go First,8483,,,101.796,,
42,DEL,BLR,6:05:00,4,2:50:00,8:55:00,4,SG191,SG,SpiceJet,8484,,,101.808,,
43,DEL,BLR,9:35:00,5,2:50:00,12:25:00,5,I51529,I5,AirAsia India,8590,,,103.08,,
44,DEL,BLR,9:35:00,6,2:50:00,12:25:00,6,I51529,I5,AirAsia India,8590,,,103.08,,
45,DEL,BLR,18:45:00,6,2:55:00,21:40:00,6,I5857,I5,AirAsia India,8590,,,103.08,,
46,DEL,BLR,18:45:00,4,2:55:00,21:40:00,4,I5857,I5,AirAsia India,8590,,,103.08,,
47,DEL,BLR,18:45:00,0,2:55:00,21:40:00,0,I5857,I5,AirAsia India,8591,,,103.092,,
48,DEL,BLR,20:30:00,5,2:55:00,23:25:00,5,G8119,G8,Go First,11038,,,132.456,,
49,DEL,MAA,13:45:00,1,2:50:00,16:35:00,1,UK839,UK,Vistara,10462,11891,,125.544,142.692,
50,DEL,MAA,19:55:00,1,2:50:00,22:45:00,1,UK835,UK,Vistara,10462,11891,,125.544,142.692,
51,DEL,MAA,8:45:00,3,2:40:00,11:25:00,3,SG8207,SG,SpiceJet,10644,,,127.728,,
52,DEL,MAA,8:45:00,4,2:40:00,11:25:00,4,SG8207,SG,SpiceJet,10644,,,127.728,,
53,DEL,MAA,8:45:00,5,2:40:00,11:25:00,5,SG8207,SG,SpiceJet,10644,,,127.728,,
54,DEL,MAA,8:45:00,6,2:40:00,11:25:00,6,SG8207,SG,SpiceJet,10644,,,127.728,,
55,DEL,MAA,18:25:00,4,2:45:00,21:10:00,4,SG8103,SG,SpiceJet,10644,,,127.728,,
56,DEL,MAA,18:25:00,5,2:45:00,21:10:00,5,SG8103,SG,SpiceJet,10644,,,127.728,,
57,DEL,MAA,18:25:00,1,2:45:00,21:10:00,1,SG8103,SG,SpiceJet,10644,,,127.728,,
58,DEL,MAA,19:55:00,2,2:50:00,22:45:00,2,UK835,UK,Vistara,10644,11891,30449,127.728,142.692,365.388
59,DEL,MAA,13:45:00,2,2:50:00,16:35:00,2,UK839,UK,Vistara,10644,13090,,127.728,157.08,
60,DEL,MAA,7:00:00,6,2:50:00,9:50:00,6,UK833,UK,Vistara,10644,11891,,127.728,142.692,
61,DEL,MAA,7:00:00,5,2:50:00,9:50:00,5,UK833,UK,Vistara,10644,13090,30449,127.728,157.08,365.388
62,DEL,MAA,13:45:00,4,2:50:00,16:35:00,4,UK839,UK,Vistara,10644,16386,30609,127.728,196.632,367.308
63,DEL,MAA,13:45:00,5,2:50:00,16:35:00,5,UK839,UK,Vistara,10644,11891,30449,127.728,142.692,365.388
64,DEL,MAA,20:40:00,2,2:55:00,23:35:00,2,AI540,AI,Air India,10646,,30622,127.752,,367.464
65,DEL,MAA,9:45:00,0,2:55:00,12:40:00,0,AI429,AI,Air India,10646,,30622,127.752,,367.464
66,DEL,MAA,20:40:00,6,2:55:00,23:35:00,6,AI540,AI,Air India,10646,,,127.752,,
67,DEL,MAA,20:40:00,4,2:55:00,23:35:00,4,AI540,AI,Air India,10646,,,127.752,,
68,DEL,MAA,20:40:00,5,2:55:00,23:35:00,5,AI540,AI,Air India,10646,,,127.752,,
69,DEL,MAA,20:40:00,0,2:55:00,23:35:00,0,AI540,AI,Air India,10646,,30622,127.752,,367.464
70,DEL,MAA,20:40:00,1,2:55:00,23:35:00,1,AI540,AI,Air India,10646,,30622,127.752,,367.464
71,DEL,MAA,9:45:00,3,2:55:00,12:40:00,3,AI429,AI,Air India,10646,,,127.752,,
72,DEL,MAA,9:45:00,1,2:55:00,12:40:00,1,AI429,AI,Air India,10646,,,127.752,,
73,DEL,MAA,9:45:00,2,2:55:00,12:40:00,2,AI429,AI,Air India,10646,,,127.752,,
74,DEL,COK,4:55:00,0,3:20:00,8:15:00,0,AI833,AI,Air India,11740,,33138,140.88,,397.656
75,DEL,COK,15:55:00,0,3:15:00,19:10:00,0,UK885,UK,Vistara,11767,14288,33150,141.204,171.456,397.8
76,DEL,COK,5:30:00,5,3:10:00,8:40:00,5,UK883,UK,Vistara,11949,14288,37281,143.388,171.456,447.372
77,DEL,COK,5:30:00,6,3:10:00,8:40:00,6,UK883,UK,Vistara,11949,14288,49863,143.388,171.456,598.356
78,DEL,COK,5:30:00,3,3:10:00,8:40:00,3,UK883,UK,Vistara,11949,14288,49863,143.388,171.456,598.356
79,DEL,COK,5:30:00,1,3:10:00,8:40:00,1,UK883,UK,Vistara,11949,16565,32966,143.388,198.78,395.592
80,DEL,COK,4:55:00,2,3:20:00,8:15:00,2,AI833,AI,Air India,11951,,33138,143.412,,397.656
81,DEL,COK,4:55:00,6,3:20:00,8:15:00,6,AI833,AI,Air India,11951,,33138,143.412,,397.656
82,DEL,COK,4:55:00,1,3:20:00,8:15:00,1,AI833,AI,Air India,11951,,33138,143.412,,397.656
83,DEL,COK,4:55:00,5,3:20:00,8:15:00,5,AI833,AI,Air India,11951,,33138,143.412,,397.656
84,DEL,COK,4:55:00,4,3:20:00,8:15:00,4,AI833,AI,Air India,11951,,33138,143.412,,397.656
85,DEL,COK,4:55:00,3,3:20:00,8:15:00,3,AI833,AI,Air India,11951,,33138,143.412,,397.656
86,DEL,COK,5:50:00,5,3:05:00,8:55:00,5,6E6034,6E,IndiGo,12345,,,148.14,,
87,DEL,COK,5:50:00,2,3:05:00,8:55:00,2,6E6034,6E,IndiGo,12345,,,148.14,,
88,DEL,COK,5:50:00,0,3:05:00,8:55:00,0,6E6034,6E,IndiGo,12345,,,148.14,,
89,DEL,COK,5:50:00,1,3:05:00,8:55:00,1,6E6034,6E,IndiGo,12345,,,148.14,,
90,DEL,COK,5:50:00,3,3:05:00,8:55:00,3,6E6034,6E,IndiGo,12345,,,148.14,,
91,DEL,COK,5:50:00,6,3:05:00,8:55:00,6,6E6034,6E,IndiGo,12345,,,148.14,,
92,DEL,COK,5:50:00,4,3:05:00,8:55:00,4,6E6034,6E,IndiGo,12345,,,148.14,,
93,DEL,COK,17:55:00,3,3:10:00,21:05:00,3,6E359,6E,IndiGo,12345,,,148.14,,
94,DEL,COK,17:55:00,0,3:10:00,21:05:00,0,6E359,6E,IndiGo,12345,,,148.14,,
95,DEL,COK,17:55:00,1,3:10:00,21:05:00,1,6E359,6E,IndiGo,12345,,,148.14,,
96,DEL,COK,14:55:00,0,3:15:00,18:10:00,0,I5549,I5,AirAsia India,12346,,,148.152,,
97,DEL,COK,14:55:00,3,3:15:00,18:10:00,3,I5549,I5,AirAsia India,12346,,,148.152,,
98,DEL,COK,14:55:00,1,3:15:00,18:10:00,1,I5549,I5,AirAsia India,12346,,,148.152,,
99,DEL,HYD,21:55:00,6,2:20:00,0:15:00,0,SG162,SG,SpiceJet,6661,,,79.932,,
100,DEL,HYD,21:55:00,5,2:20:00,0:15:00,6,SG162,SG,SpiceJet,6661,,,79.932,,
101,DEL,HYD,5:45:00,5,2:00:00,7:45:00,5,G8423,G8,Go First,6979,,,83.748,,
102,DEL,HYD,5:45:00,6,2:00:00,7:45:00,6,G8423,G8,Go First,6979,,,83.748,,
103,DEL,HYD,18:55:00,6,2:10:00,21:05:00,6,G8422,G8,Go First,6979,,,83.748,,
104,DEL,HYD,18:55:00,5,2:10:00,21:05:00,5,G8422,G8,Go First,7502,,,90.024,,
105,DEL,HYD,7:10:00,1,2:15:00,9:25:00,1,AI560,AI,Air India,9023,,,108.276,,
106,DEL,HYD,7:20:00,3,2:05:00,9:25:00,3,UK829,UK,Vistara,9681,10933,,116.172,131.196,
107,DEL,HYD,7:20:00,6,2:05:00,9:25:00,6,UK829,UK,Vistara,9681,11959,26375,116.172,143.508,316.5
108,DEL,HYD,14:45:00,2,2:15:00,17:00:00,2,UK899,UK,Vistara,9681,10760,,116.172,129.12,
109,DEL,HYD,20:35:00,6,2:20:00,22:55:00,6,UK871,UK,Vistara,9681,10760,26375,116.172,129.12,316.5
110,DEL,HYD,7:10:00,5,2:15:00,9:25:00,5,AI560,AI,Air India,9781,,,117.372,,
111,DEL,HYD,7:10:00,6,2:15:00,9:25:00,6,AI560,AI,Air India,9781,,,117.372,,
112,DEL,HYD,7:20:00,4,2:05:00,9:25:00,4,UK829,UK,Vistara,9867,10933,26375,118.404,131.196,316.5
113,DEL,HYD,7:20:00,2,2:05:00,9:25:00,2,UK829,UK,Vistara,9867,10933,26250,118.404,131.196,315
114,DEL,HYD,21:55:00,3,2:20:00,0:15:00,4,SG162,SG,SpiceJet,9867,,,118.404,,
115,DEL,HYD,21:55:00,4,2:20:00,0:15:00,5,SG162,SG,SpiceJet,9867,,,118.404,,
116,DEL,HYD,21:55:00,1,2:20:00,0:15:00,2,SG162,SG,SpiceJet,9867,,,118.404,,
117,DEL,HYD,21:55:00,2,2:20:00,0:15:00,3,SG162,SG,SpiceJet,9867,,,118.404,,
118,DEL,HYD,9:45:00,1,2:05:00,11:50:00,1,AI542,AI,Air India,9868,,,118.416,,
119,DEL,HYD,9:45:00,4,2:05:00,11:50:00,4,AI542,AI,Air India,9868,,,118.416,,
120,DEL,HYD,21:30:00,2,2:15:00,23:45:00,2,AI839,AI,Air India,9868,,26427,118.416,,317.124
121,DEL,HYD,7:10:00,2,2:15:00,9:25:00,2,AI560,AI,Air India,9868,,26427,118.416,,317.124
122,DEL,HYD,7:10:00,4,2:15:00,9:25:00,4,AI560,AI,Air India,9868,,26427,118.416,,317.124
123,DEL,HYD,20:35:00,2,2:20:00,22:55:00,2,UK871,UK,Vistara,10046,10760,,120.552,129.12,
124,DEL,TRV,8:10:00,5,3:15:00,11:25:00,5,UK895,UK,Vistara,13546,15966,37281,162.552,191.592,447.372
125,DEL,TRV,8:10:00,2,3:15:00,11:25:00,2,UK895,UK,Vistara,13546,16638,69590,162.552,199.656,835.08
126,DEL,TRV,8:10:00,6,3:15:00,11:25:00,6,UK895,UK,Vistara,13546,15966,37281,162.552,191.592,447.372
127,DEL,TRV,8:10:00,0,3:15:00,11:25:00,0,UK895,UK,Vistara,13546,15966,54735,162.552,191.592,656.82
128,DEL,TRV,8:10:00,3,3:15:00,11:25:00,3,UK895,UK,Vistara,13546,15966,32966,162.552,191.592,395.592
129,DEL,TRV,8:10:00,4,3:15:00,11:25:00,4,UK895,UK,Vistara,13728,15966,59049,164.736,191.592,708.588
130,DEL,TRV,8:10:00,1,3:15:00,11:25:00,1,UK895,UK,Vistara,13728,15966,37281,164.736,191.592,447.372
131,DEL,TRV,15:00:00,3,3:15:00,18:15:00,3,AI801,AI,Air India,13731,,64344,164.772,,772.128
132,DEL,TRV,15:00:00,5,3:15:00,18:15:00,5,AI801,AI,Air India,13731,,33738,164.772,,404.856
133,DEL,TRV,15:00:00,4,3:15:00,18:15:00,4,AI801,AI,Air India,13731,,47626,164.772,,571.512
134,DEL,TRV,15:00:00,2,3:15:00,18:15:00,2,AI801,AI,Air India,13731,,33138,164.772,,397.656
135,DEL,TRV,15:00:00,1,3:15:00,18:15:00,1,AI801,AI,Air India,13731,,33138,164.772,,397.656
136,DEL,TRV,15:00:00,0,3:15:00,18:15:00,0,AI801,AI,Air India,13928,,33138,167.136,,397.656
137,DEL,TRV,21:35:00,6,3:15:00,0:50:00,0,6.00E+155,6E,IndiGo,14124,,,169.488,,
138,DEL,TRV,21:35:00,0,3:15:00,0:50:00,1,6.00E+155,6E,IndiGo,14124,,,169.488,,
139,DEL,TRV,21:35:00,5,3:15:00,0:50:00,6,6.00E+155,6E,IndiGo,14124,,,169.488,,
140,DEL,TRV,21:35:00,2,3:15:00,0:50:00,3,6.00E+155,6E,IndiGo,14124,,,169.488,,
141,DEL,TRV,21:35:00,1,3:15:00,0:50:00,2,6.00E+155,6E,IndiGo,14124,,,169.488,,
142,DEL,TRV,21:35:00,3,3:15:00,0:50:00,4,6.00E+155,6E,IndiGo,14124,,,169.488,,
143,DEL,TRV,21:35:00,4,3:15:00,0:50:00,5,6.00E+155,6E,IndiGo,14481,,,173.772,,
144,DEL,TRV,15:00:00,6,3:15:00,18:15:00,6,AI801,AI,Air India,15036,,33738,180.432,,404.856
145,DEL,CCU,5:30:00,1,2:10:00,7:40:00,1,G8101,G8,Go First,5218,,,62.616,,
146,DEL,CCU,7:00:00,6,2:05:00,9:05:00,6,SG8263,SG,SpiceJet,5424,,,65.088,,
147,DEL,CCU,5:30:00,6,2:10:00,7:40:00,6,G8101,G8,Go First,5607,,,67.284,,
148,DEL,CCU,7:00:00,1,2:05:00,9:05:00,1,SG8263,SG,SpiceJet,6280,,,75.36,,
149,DEL,CCU,19:30:00,3,2:25:00,21:55:00,3,SG8254,SG,SpiceJet,6280,,,75.36,,
150,DEL,CCU,19:30:00,6,2:25:00,21:55:00,6,SG8254,SG,SpiceJet,6300,,,75.6,,
151,DEL,CCU,5:30:00,3,2:10:00,7:40:00,3,G8101,G8,Go First,6499,,,77.988,,
152,DEL,CCU,19:30:00,1,2:25:00,21:55:00,1,SG8254,SG,SpiceJet,6580,,,78.96,,
153,DEL,CCU,20:15:00,0,2:10:00,22:25:00,0,AI762,AI,Air India,8709,,30742,104.508,,368.904
154,DEL,CCU,7:00:00,4,2:05:00,9:05:00,4,SG8263,SG,SpiceJet,8824,,,105.888,,
155,DEL,CCU,7:00:00,2,2:05:00,9:05:00,2,SG8263,SG,SpiceJet,8824,,,105.888,,
156,DEL,CCU,19:30:00,2,2:25:00,21:55:00,2,SG8254,SG,SpiceJet,8824,,,105.888,,
157,DEL,CCU,17:30:00,4,2:05:00,19:35:00,4,UK707,UK,Vistara,9344,,,112.128,,
158,DEL,CCU,7:30:00,3,2:05:00,9:35:00,3,UK705,UK,Vistara,9344,10931,,112.128,131.172,
159,DEL,CCU,6:15:00,3,2:05:00,8:20:00,3,UK747,UK,Vistara,9344,10931,,112.128,131.172,
160,DEL,CCU,7:30:00,4,2:05:00,9:35:00,4,UK705,UK,Vistara,9344,10931,,112.128,131.172,
161,DEL,CCU,17:30:00,3,2:05:00,19:35:00,3,UK707,UK,Vistara,9344,11050,,112.128,132.6,
162,DEL,CCU,7:30:00,5,2:05:00,9:35:00,5,UK705,UK,Vistara,9344,10758,30570,112.128,129.096,366.84
163,DEL,CCU,6:15:00,4,2:05:00,8:20:00,4,UK747,UK,Vistara,9344,10758,,112.128,129.096,
164,DEL,CCU,15:55:00,4,2:10:00,18:05:00,4,UK737,UK,Vistara,9344,10878,,112.128,130.536,
165,DEL,CCU,20:30:00,5,2:15:00,22:45:00,5,UK727,UK,Vistara,9344,10638,30570,112.128,127.656,366.84
166,DEL,CCU,6:15:00,5,2:05:00,8:20:00,5,UK747,UK,Vistara,9523,10758,30570,114.276,129.096,366.84
167,DEL,CCU,17:30:00,5,2:05:00,19:35:00,5,UK707,UK,Vistara,9523,10878,,114.276,130.536,
168,DEL,CCU,15:55:00,5,2:10:00,18:05:00,5,UK737,UK,Vistara,9523,10878,,114.276,130.536,
169,DEL,CCU,20:30:00,3,2:15:00,22:45:00,3,UK727,UK,Vistara,9523,10811,,114.276,129.732,
170,DEL,AMD,5:45:00,5,1:40:00,7:25:00,5,SG8913,SG,SpiceJet,4745,,,56.94,,
171,DEL,AMD,17:05:00,5,1:20:00,18:25:00,5,G8717,G8,Go First,5100,,,61.2,,
172,DEL,AMD,5:20:00,5,1:35:00,6:55:00,5,G8719,G8,Go First,5100,,,61.2,,
173,DEL,AMD,20:20:00,5,1:35:00,21:55:00,5,G8713,G8,Go First,5100,,,61.2,,
174,DEL,AMD,18:10:00,5,1:30:00,19:40:00,5,SG921,SG,SpiceJet,5653,,,67.836,,
175,DEL,AMD,5:45:00,3,1:40:00,7:25:00,3,SG8913,SG,SpiceJet,7192,,,86.304,,
176,DEL,AMD,5:45:00,6,1:40:00,7:25:00,6,SG8913,SG,SpiceJet,7192,,,86.304,,
177,DEL,AMD,6:30:00,3,1:25:00,7:55:00,3,UK959,UK,Vistara,7712,9075,21881,92.544,108.9,262.572
178,DEL,AMD,21:20:00,3,1:40:00,23:00:00,3,UK929,UK,Vistara,7712,10034,20383,92.544,120.408,244.596
179,DEL,AMD,21:20:00,1,1:40:00,23:00:00,1,UK929,UK,Vistara,7712,10034,24697,92.544,120.408,296.364
180,DEL,AMD,18:10:00,2,1:45:00,19:55:00,2,UK969,UK,Vistara,7712,10034,26195,92.544,120.408,314.34
181,DEL,AMD,19:00:00,5,1:35:00,20:35:00,5,AI531,AI,Air India,7825,,22593,93.9,,271.116
182,DEL,AMD,6:30:00,5,1:25:00,7:55:00,5,UK959,UK,Vistara,7891,9075,23798,94.692,108.9,285.576
183,DEL,AMD,6:30:00,2,1:25:00,7:55:00,2,UK959,UK,Vistara,7891,9075,26195,94.692,108.9,314.34
184,DEL,AMD,6:30:00,4,1:25:00,7:55:00,4,UK959,UK,Vistara,7891,9075,,94.692,108.9,
185,DEL,AMD,18:10:00,0,1:30:00,19:40:00,0,SG921,SG,SpiceJet,7891,,,94.692,,
186,DEL,AMD,18:10:00,3,1:30:00,19:40:00,3,SG921,SG,SpiceJet,7891,,,94.692,,
187,DEL,AMD,18:10:00,2,1:30:00,19:40:00,2,SG921,SG,SpiceJet,7891,,,94.692,,
188,DEL,AMD,21:20:00,2,1:40:00,23:00:00,2,UK929,UK,Vistara,7891,10034,24697,94.692,120.408,296.364
189,DEL,AMD,21:20:00,0,1:40:00,23:00:00,0,UK929,UK,Vistara,7891,10034,24697,94.692,120.408,296.364
190,DEL,AMD,21:20:00,5,1:40:00,23:00:00,5,UK929,UK,Vistara,7891,10034,22300,94.692,120.408,267.6
191,DEL,AMD,18:10:00,0,1:45:00,19:55:00,0,UK969,UK,Vistara,7891,12851,22030,94.692,154.212,264.36
192,DEL,AMD,18:10:00,3,1:45:00,19:55:00,3,UK969,UK,Vistara,7891,10034,21881,94.692,120.408,262.572
193,DEL,AMD,19:00:00,2,1:35:00,20:35:00,2,AI531,AI,Air India,7894,,21993,94.728,,263.916
194,DEL,AMD,19:00:00,4,1:35:00,20:35:00,4,AI531,AI,Air India,7894,,22905,94.728,,274.86
195,DEL,CCJ,17:10:00,1,3:10:00,20:20:00,1,6E5913,6E,IndiGo,10184,,,122.208,,
196,DEL,CCJ,5:45:00,0,3:05:00,8:50:00,0,AI425,AI,Air India,10473,,27558,125.676,,330.696
197,DEL,CCJ,5:45:00,2,3:05:00,8:50:00,2,AI425,AI,Air India,10473,,27558,125.676,,330.696
198,DEL,CCJ,5:45:00,4,4:25:00,10:10:00,4,AI425,AI,Air India,10473,,,125.676,,
199,DEL,CCJ,5:45:00,1,4:25:00,10:10:00,1,AI425,AI,Air India,10473,,,125.676,,
200,DEL,CCJ,5:45:00,5,3:05:00,8:50:00,5,AI425,AI,Air India,11197,,27558,134.364,,330.696
201,DEL,CCJ,5:45:00,6,4:25:00,10:10:00,6,AI425,AI,Air India,11197,,,134.364,,
202,DEL,CCJ,5:45:00,3,4:25:00,10:10:00,3,AI425,AI,Air India,11366,,,136.392,,
203,DEL,CCJ,17:10:00,2,3:10:00,20:20:00,2,6E5913,6E,IndiGo,11512,,,138.144,,
204,DEL,CCJ,17:10:00,0,3:10:00,20:20:00,0,6E5913,6E,IndiGo,11512,,,138.144,,
205,DEL,CCJ,17:10:00,6,3:10:00,20:20:00,6,6E5913,6E,IndiGo,12237,,,146.844,,
206,DEL,CCJ,17:10:00,5,3:10:00,20:20:00,5,6E5913,6E,IndiGo,12237,,,146.844,,
207,DEL,CCJ,17:10:00,3,3:10:00,20:20:00,3,6E5913,6E,IndiGo,13081,,,156.972,,
208,DEL,CCJ,17:10:00,4,3:10:00,20:20:00,4,6E5913,6E,IndiGo,19119,,,229.428,,
209,DEL,JAI,20:00:00,5,1:15:00,21:15:00,5,SG2978,SG,SpiceJet,4354,,,52.248,,
210,DEL,JAI,20:00:00,0,1:15:00,21:15:00,0,SG2978,SG,SpiceJet,4354,,,52.248,,
211,DEL,JAI,20:00:00,6,1:15:00,21:15:00,6,SG2978,SG,SpiceJet,4354,,,52.248,,
212,DEL,JAI,20:00:00,1,1:15:00,21:15:00,1,SG2978,SG,SpiceJet,4354,,,52.248,,
213,DEL,JAI,21:05:00,1,0:50:00,21:55:00,1,6E698,6E,IndiGo,4751,,,57.012,,
214,DEL,JAI,13:00:00,5,0:50:00,13:50:00,5,6.00E+212,6E,IndiGo,4751,,,57.012,,
215,DEL,JAI,13:00:00,2,0:50:00,13:50:00,2,6.00E+212,6E,IndiGo,4751,,,57.012,,
216,DEL,JAI,21:05:00,2,0:50:00,21:55:00,2,6E698,6E,IndiGo,4751,,,57.012,,
217,DEL,JAI,13:00:00,3,0:50:00,13:50:00,3,6.00E+212,6E,IndiGo,4751,,,57.012,,
218,DEL,JAI,21:05:00,6,0:50:00,21:55:00,6,6E698,6E,IndiGo,4751,,,57.012,,
219,DEL,JAI,21:05:00,5,0:50:00,21:55:00,5,6E698,6E,IndiGo,4751,,,57.012,,
220,DEL,JAI,13:00:00,4,0:50:00,13:50:00,4,6.00E+212,6E,IndiGo,4751,,,57.012,,
221,DEL,JAI,21:05:00,3,0:50:00,21:55:00,3,6E698,6E,IndiGo,4751,,,57.012,,
222,DEL,JAI,13:00:00,1,0:50:00,13:50:00,1,6.00E+212,6E,IndiGo,4751,,,57.012,,
223,DEL,JAI,21:05:00,4,0:50:00,21:55:00,4,6E698,6E,IndiGo,4751,,,57.012,,
224,DEL,JAI,13:00:00,6,0:50:00,13:50:00,6,6.00E+212,6E,IndiGo,4751,,,57.012,,
225,DEL,JAI,8:30:00,4,0:55:00,9:25:00,4,6E2175,6E,IndiGo,4751,,,57.012,,
226,DEL,JAI,8:30:00,6,0:55:00,9:25:00,6,6E2175,6E,IndiGo,4751,,,57.012,,
227,DEL,JAI,8:30:00,3,0:55:00,9:25:00,3,6E2175,6E,IndiGo,4751,,,57.012,,
228,DEL,JAI,8:30:00,2,0:55:00,9:25:00,2,6E2175,6E,IndiGo,4751,,,57.012,,
229,DEL,JAI,8:30:00,1,0:55:00,9:25:00,1,6E2175,6E,IndiGo,4751,,,57.012,,
230,DEL,JAI,8:30:00,5,0:55:00,9:25:00,5,6E2175,6E,IndiGo,4751,,,57.012,,
231,DEL,JAI,7:20:00,4,1:00:00,8:20:00,4,6E7403,6E,IndiGo,4751,,,57.012,,
232,DEL,JAI,7:20:00,2,1:00:00,8:20:00,2,6E7403,6E,IndiGo,4751,,,57.012,,
233,DEL,JAI,7:20:00,1,1:00:00,8:20:00,1,6E7403,6E,IndiGo,4751,,,57.012,,
234,DEL,GOI,15:10:00,5,2:30:00,17:40:00,5,SG957,SG,SpiceJet,6059,,,72.708,,
235,DEL,GOI,12:05:00,5,2:20:00,14:25:00,5,SG8171,SG,SpiceJet,6118,,,73.416,,
236,DEL,GOI,10:40:00,5,2:35:00,13:15:00,5,I5552,I5,AirAsia India,7161,,,85.932,,
